"frequency_hz","frequency_khz","ka","f_bs_real_acousticts","f_bs_imag_acousticts","sigma_bs_acousticts","TS_acousticts","f_bs_real_echopop","f_bs_imag_echopop","sigma_bs_echopop","TS_echopop","f_bs_real_zooscatr","f_bs_imag_zooscatr","sigma_bs_zooscatr","TS_zooscatr"
148000,148,0.619940950308386,-8.58591076545235e-06,3.65684361980941e-09,7.37178770448158e-11,-101.324271802489,-8.58564714852784e-06,3.60261819908615e-09,7.37133499378822e-11,-101.324538516346,-8.58591076545235e-06,3.65684361980901e-09,7.37178770448158e-11,-101.324271802489
150000,150,0.628318530717959,-8.07175272110144e-06,4.32839590334469e-09,6.51532107256196e-11,-101.86064177556,-8.07150507827832e-06,4.26564890289588e-09,6.51492124244333e-11,-101.860908300172,-8.07175272110144e-06,4.32839590334448e-09,6.51532107256196e-11,-101.86064177556
152000,152,0.636696111127531,-7.43938123959093e-06,4.96392001521987e-09,5.53444178684794e-11,-102.569261762518,-7.43915648392435e-06,4.89284809238698e-09,5.53410731322762e-11,-102.56952423603,-7.43938123959093e-06,4.96392001522109e-09,5.53444178684794e-11,-102.569261762518
154000,154,0.645073691537104,-6.6956919398494e-06,5.55395132249249e-09,4.48323213997395e-11,-103.484087729568,-6.69549723893309e-06,5.47493587385558e-09,4.48297132514834e-11,-103.48434039044,-6.6956919398494e-06,5.55395132249107e-09,4.48323213997395e-11,-103.484087729568
156000,156,0.653451271946677,-5.84929779181253e-06,6.08936960576555e-09,3.42143217377252e-11,-104.657920650052,-5.84914047232524e-06,6.00299302972801e-09,3.42124803009185e-11,-104.658154396426,-5.84929779181252e-06,6.08936960576622e-09,3.4214321737725e-11,-104.657920650052
158000,158,0.66182885235625,-4.91042904848666e-06,6.56153542869789e-09,2.41123564939688e-11,-106.177603440681,-4.91031649222228e-06,6.46859572289638e-09,2.41112498965207e-11,-106.177802757656,-4.91042904848664e-06,6.56153542868787e-09,2.41123564939686e-11,-106.177603440681
160000,160,0.670206432765823,-3.8908075925524e-06,6.96242338766388e-09,1.51384321976028e-11,-108.199190999473,-3.89074712523774e-06,6.86394665296452e-09,1.51379603063094e-11,-108.199326378736,-3.8908075925524e-06,6.96242338766433e-09,1.51384321976028e-11,-108.199190999473
162000,162,0.678584013175395,-2.80349726488908e-06,7.2847502592898e-09,7.85964998182687e-12,-111.045967942082,-2.8034960392874e-06,7.18200067818604e-09,7.85964162343387e-12,-111.045972560615,-2.80349726488908e-06,7.28475025929106e-09,7.85964998182687e-12,-111.045967942082
164000,164,0.686961593584968,-1.66273212580934e-06,7.52209608826674e-09,2.76473470412801e-12,-115.583465359908,-1.66279700078534e-06,7.41658294950432e-09,2.76494887152336e-12,-115.583128951081,-1.66273212580934e-06,7.52209608827109e-09,2.76473470412802e-12,-115.583465359908
166000,166,0.695339173994541,-4.83724957327151e-07,7.66901631174545e-09,2.34048648152344e-13,-126.306938629821,-4.83862374704527e-07,7.56249766455789e-09,2.34179989025631e-13,-126.304502186874,-4.83724957327151e-07,7.6690163117458e-09,2.34048648152344e-13,-126.306938629821
168000,168,0.703716754404114,7.17541359273732e-07,7.72114309917517e-09,5.14925218319153e-13,-122.882558382006,7.17325498099453e-07,7.61562564111086e-09,5.14613867977534e-13,-122.885185144627,7.17541359273731e-07,7.72114309917565e-09,5.14925218319151e-13,-122.882558382006
170000,170,0.712094334813686,1.92453666722048e-06,7.67527419707838e-09,3.70390029331009e-12,-114.313407127698,1.92423712284865e-06,7.57300902857474e-09,3.70274585541462e-12,-114.314760955063,1.92453666722047e-06,7.67527419707827e-09,3.70390029331008e-12,-114.313407127698
172000,172,0.720471915223259,3.12041738856297e-06,7.52944770605018e-09,9.73706137142888e-12,-110.115720926835,3.12002970119681e-06,7.43292162353792e-09,9.73464058467411e-12,-110.116800785532,3.12041738856298e-06,7.52944770605084e-09,9.737061371429e-12,-110.115720926835
174000,174,0.728849495632832,4.28826803649661e-06,7.28300138135858e-09,1.83892957949476e-11,-107.35434901443,4.2877886374194e-06,7.19492342805117e-09,1.83851831661061e-11,-107.355320390269,4.28826803649661e-06,7.2830013813575e-09,1.83892957949476e-11,-107.35434901443
176000,176,0.737227076042405,5.41134686072717e-06,6.93661523574266e-09,2.92827229637328e-11,-105.333885412359,5.41077317546906e-06,6.859898286357e-09,2.92765134145801e-11,-105.33480645338,5.41134686072718e-06,6.93661523574338e-09,2.92827229637328e-11,-105.333885412359
178000,178,0.745604656451978,6.47333200047172e-06,6.49233643331219e-09,4.19040693387635e-11,-103.777438002901,6.47266254152492e-06,6.43007365418849e-09,4.1895401722307e-11,-103.778336409052,6.47333200047173e-06,6.49233643331021e-09,4.19040693387637e-11,-103.777438002901
180000,180,0.75398223686155,7.45856447325592e-06,5.9535856919452e-09,5.5630219446898e-11,-102.546892268758,7.45779892027067e-06,5.90902179238006e-09,5.5618799651729e-11,-102.547783881841,7.45856447325593e-06,5.95358569193973e-09,5.5630219446898e-11,-102.546892268758
182000,182,0.762359817271123,8.35228433641437e-06,5.32514465731432e-09,6.97606819934784e-11,-101.563892823106,8.3514236019198e-06,5.30164192924763e-09,6.97463042861103e-11,-101.564787998203,8.35228433641437e-06,5.32514465731417e-09,6.97606819934784e-11,-101.563892823106
184000,184,0.770737397680696,9.14085642247638e-06,4.61312397062421e-09,8.35552774172405e-11,-100.780261145222,9.13990270132093e-06,4.61412320269657e-09,8.35378426797466e-11,-100.781167443496,9.14085642247639e-06,4.61312397062538e-09,8.35552774172406e-11,-100.780261145222
186000,186,0.779114978090269,9.81198216893156e-06,3.82491202029947e-09,9.6275008713383e-11,-100.164864333993,9.81093896982535e-06,3.8538884668472e-09,9.62545383220941e-11,-100.165787847101,9.81198216893156e-06,3.82491202030003e-09,9.62750087133829e-11,-100.164864333993
188000,188,0.787492558499841,1.03548942358778e-05,2.96910464334559e-09,1.07223843451798e-10,-99.6970862949281,1.03537663936422e-05,3.02951932804242e-09,1.07200487712101e-10,-99.698032388019,1.03548942358779e-05,2.96910464334071e-09,1.07223843451799e-10,-99.6970862949281
190000,190,0.795870138909414,1.07605308295969e-05,2.05541631907057e-09,1.15789027959442e-10,-99.3633259192491,1.07593244969825e-05,2.15066305577223e-09,1.15763068256718e-10,-99.3642997092407,1.07605308295969e-05,2.0554163190695e-09,1.15789027959442e-10,-99.3633259192491
192000,192,0.804247719318987,1.10216869232156e-05,1.09457367348633e-09,1.21477583831474e-10,-99.1550385471141,1.10204095414367e-05,1.22792229109263e-09,1.21449427968783e-10,-99.1560452639682,1.10216869232156e-05,1.09457367348579e-09,1.21477583831474e-10,-99.1550385471141
194000,194,0.81262529972856,1.11331398835709e-05,9.81923833874203e-11,1.23946803676798e-10,-99.0676466827839,1.11318001310151e-05,2.7272874659268e-10,1.23916974231248e-10,-99.0686919959614,1.11331398835709e-05,9.81923833921468e-11,1.23946803676798e-10,-99.0676466827839
196000,196,0.821002880138133,1.10917473717668e-05,-9.21361170899235e-10,1.23026860608003e-10,-99.1000005815181,1.10903550906742e-05,-7.02797650337011e-10,1.22995976531169e-10,-99.1010909505565,1.10917473717668e-05,-9.21361170900912e-10,1.23026860608003e-10,-99.1000005815181
198000,198,0.829380460547705,1.08965157786189e-05,-1.95112190732016e-09,1.18734059920567e-10,-99.2542468194061,1.08950818798754e-05,-1.68600247431738e-09,1.18702812011794e-10,-99.2553899269882,1.08965157786189e-05,-1.95112190732189e-09,1.18734059920567e-10,-99.2542468194061
