"frequency","ka_viscous","ka_shell","ka_gas","f_bs","sigma_bs","TS"
109000,1.91553930401727,0.465709694968151,0.456578132321717,0.000928325885209211+0.000650294520276637i,1.28467191225129e-06,-58.9120777108123
110000,1.9331130591,0.469982260977033,0.460766922526503,0.000151539059157599-0.00119742386191088i,1.45678799152393e-06,-58.3660364713927
111000,1.95068681418273,0.474254826985915,0.464955712731289,-0.0012598564455094+0.000431966643602575i,1.77383344447686e-06,-57.510871610209
112000,1.96826056926545,0.478527392994797,0.469144502936076,0.00103602069330737+0.00119052641676393i,2.49069202597386e-06,-56.0367996964895
113000,1.98583432434818,0.482799959003679,0.473333293140862,0.00143141338621199-0.00163077316745303i,4.70836540591165e-06,-53.2712983987852
114000,2.00340807943091,0.487072525012562,0.477522083345649,-6.63717216937683e-05-0.001964746553647i,3.86463422550836e-06,-54.1289160429691
115000,2.02098183451364,0.491345091021444,0.481710873550435,-0.000367879354161625-0.000207004512823607i,1.78186087547713e-07,-67.4912620791491
116000,2.03855558959636,0.495617657030326,0.485899663755221,-0.000186529820073662-5.95464071586576e-05i,3.83391483822174e-08,-74.1635753822403
117000,2.05612934467909,0.499890223039208,0.490088453960008,-0.000131285055088057+0.000320310093521339i,1.19834321701123e-07,-69.2141877801823
118000,2.07370309976182,0.50416278904809,0.494277244164794,0.00044294283707209+9.81521945513972e-06i,1.96294695446425e-07,-67.0709143636267
119000,2.09127685484455,0.508435355056972,0.498466034369581,-0.000210419641951627-0.00045802089102131i,2.54059562331005e-07,-65.9506445440676
120000,2.10885060992727,0.512707921065854,0.502654824574367,-0.00033215753421719+0.000431993891326792i,2.96947349680908e-07,-65.2732054654151
121000,2.12642436501,0.516980487074736,0.506843614779153,0.000566807543547219+8.86848974303577e-05i,3.29135802454265e-07,-64.8262487382043
122000,2.14399812009273,0.521253053083618,0.51103240498394,-0.000206142659951323-0.000557803621969124i,3.5363967693368e-07,-64.5143901485051
123000,2.16157187517545,0.525525619092501,0.515221195188726,-0.00039412294275699+0.000466036140150398i,3.72522577933711e-07,-64.2884740029859
124000,2.17914563025818,0.529798185101383,0.519409985393512,0.000611823095982785+0.000113477372319466i,3.8720461480649e-07,-64.1205947529688
125000,2.19671938534091,0.534070751110265,0.523598775598299,-0.000209310195316102-0.000595710873859989i,3.98682203098296e-07,-63.9937315051446
126000,2.21429314042364,0.538343317119147,0.527787565803085,-0.000416022637210937+0.000484350438728588i,4.07670182168519e-07,-63.8969105257347
127000,2.23186689550636,0.542615883128029,0.531976356007872,0.000632989845800885+0.000118391066262302i,4.14692589457753e-07,-63.8227372539403
128000,2.24944065058909,0.546888449136911,0.536165146212658,-0.000216791124149536-0.000610854269233698i,4.20141329751055e-07,-63.7660459434883
129000,2.26701440567182,0.551161015145793,0.540353936417444,-0.000421081649914166+0.000496996056386299i,4.24314835957969e-07,-63.7231178307657
130000,2.28458816075454,0.555433581154675,0.544542726622231,0.000643775817083837+0.000114003392868245i,4.27444076247434e-07,-63.6912069723025
131000,2.30216191583727,0.559706147163558,0.548731516827017,-0.000226617599621057-0.000615105593254813i,4.29710427311366e-07,-63.6682410764064
132000,2.31973567092,0.56397871317244,0.552920307031804,-0.000417518995581227+0.000506888632175646i,4.31258197100054e-07,-63.6526263702826
133000,2.33730942600273,0.568251279181322,0.55710909723659,0.000649047263742243+0.000104600177131257i,4.32203547627183e-07,-63.6431167264809
134000,2.35488318108545,0.572523845190204,0.561297887441376,-0.000237751706621985-0.000613282238111147i,4.32640977584285e-07,-63.6387234875287
135000,2.37245693616818,0.576796411199086,0.565486677646163,-0.000408981139352572+0.000515152909339906i,4.32648092347497e-07,-63.6386520685657
136000,2.39003069125091,0.581068977207968,0.569675467850949,0.000650983394225264+9.22485475436608e-05i,4.3228917408096e-07,-63.642256404686
137000,2.40760444633364,0.58534154321685,0.573864258055735,-0.000249610599572239-0.000607710801556664i,4.31617869747455e-07,-63.6490058305294
138000,2.42517820141636,0.589614109225732,0.578053048260522,-0.000397338206114509+0.000522304146988024i,4.30679271999183e-07,-63.6584602973032
139000,2.44275195649909,0.593886675234615,0.582241838465308,0.000650704397938628+7.80722953182664e-05i,4.29511496792935e-07,-63.670252068574
140000,2.46032571158182,0.598159241243497,0.586430628670095,-0.000261842616910834-0.000599654399372042i,4.28146954716958e-07,-63.684071406398
141000,2.47789946666454,0.602431807252379,0.590619418874881,-0.000383650998136351+0.000528606888892823i,4.26613331355968e-07,-63.6996557728821
142000,2.49547322174727,0.606704373261261,0.594808209079667,0.000648843913867844+6.27371027048869e-05i,4.24934368619145e-07,-63.7167814182642
143000,2.51304697683,0.610976939270143,0.598996999284454,-0.000274222794024284-0.000589857906252705i,4.23130490331309e-07,-63.735256787445
144000,2.53062073191273,0.615249505279025,0.60318578948924,-0.000368565902467617+0.000534208290413863i,4.21219322008671e-07,-63.754917152423
145000,2.54819448699545,0.619522071287907,0.607374579694027,0.00064578540876284+4.66617306870151e-05i,4.19216111281696e-07,-63.775620349311
146000,2.56576824207818,0.623794637296789,0.611563369898813,-0.000286601503669275-0.00057878632622647i,4.17134033332224e-07,-63.7972437528145
147000,2.58334199716091,0.628067203305671,0.615752160103599,-0.000352495524546798+0.000539195145415723i,4.14984499665405e-07,-63.8196812457827
148000,2.60091575224364,0.632339769314554,0.619940950308386,0.000641771166471402+3.01187583565714e-05i,4.12777369719006e-07,-63.8428412067243
149000,2.61848950732636,0.636612335323436,0.624129740513172,-0.000298878270083849-0.000566738851111328i,4.10521145687302e-07,-63.8666446773141
150000,2.63606326240909,0.640884901332318,0.628318530717959,-0.000335707353215777+0.000543620916233512i,4.08223127569705e-07,-63.8910239430056
