frequency,ka,acousticTS,echoSMs,sphereTS,noaa_applet
222000.0,17.98701616638,-39.9216021548978,-39.92160215489857,-39.92160215489916,-39.92160215489817
223000.0,18.0680387617241,-40.1041669304394,-40.10416693044022,-40.10416693044338,-40.10416693044016
224000.0,18.1490613570681,-40.371071649261,-40.37107164926176,-40.3710716492699,-40.371071649262134
225000.0,18.2300839524122,-39.0589957571916,-39.05899575719327,-39.05899575720718,-39.05899575719331
226000.0,18.3111065477562,-37.9742485489326,-37.97424854893383,-37.9742485489495,-37.97424854893417
227000.0,18.3921291431003,-38.2427095473542,-38.242709547356355,-38.24270954737872,-38.24270954735657
228000.0,18.4731517384443,-38.4906886338517,-38.49068863385445,-38.49068863388726,-38.490688633854816
229000.0,18.5541743337884,-38.6468605995115,-38.646860599515314,-38.64686059956212,-38.64686059951572
230000.0,18.6351969291324,-38.7280038274497,-38.72800382745553,-38.72800382752014,-38.72800382745549
231000.0,18.7162195244765,-38.7440762824148,-38.74407628241481,-38.744076282407185,-38.74407628241455
232000.0,18.7972421198206,-38.702847380048,-38.70284738004786,-38.70284738003791,-38.70284738004758
233000.0,18.8782647151646,-38.6141767602244,-38.61417676022403,-38.614176760211436,-38.61417676022369
234000.0,18.9592873105087,-38.4906457348325,-38.49064573483167,-38.490645734815956,-38.49064573483142
235000.0,19.0403099058527,-38.3461749450838,-38.34617494508269,-38.3461749450637,-38.34617494508247
236000.0,19.1213325011968,-38.1943236209085,-38.1943236209069,-38.19432362088413,-38.194323620906786
237000.0,19.2023550965408,-38.047901597064,-38.047901597062065,-38.04790159703492,-38.04790159706185
238000.0,19.2833776918849,-37.9224014582504,-37.92240145824807,-37.922401458215646,-37.92240145824782
239000.0,19.3644002872289,-37.8503939500099,-37.8503939500067,-37.85039394996736,-37.85039395000645
240000.0,19.445422882573,-37.9329871533046,-37.93298715330544,-37.93298715325458,-37.93298715330519
241000.0,19.526445477917,-38.527532908539,-38.527532908540095,-38.52753290854685,-38.52753290854017
242000.0,19.6074680732611,-40.8626810798122,-40.86268107981331,-40.86268107982572,-40.86268107981492
243000.0,19.6884906686051,-48.5738581031678,-48.57385810317361,-48.5738581032154,-48.57385810317807
244000.0,19.7695132639492,-57.4576693251076,-57.457669325092276,-57.45766932510776,-57.457669325091885
245000.0,19.8505358592933,-47.0067702081796,-47.0067702081753,-47.00677020812006,-47.00677020817469
246000.0,19.9315584546373,-44.0335500666522,-44.033550066647976,-44.033550066597876,-44.033550066647884
247000.0,20.0125810499814,-42.5785566513452,-42.578556651340904,-42.578556651285524,-42.57855665134029
248000.0,20.0936036453254,-41.6972291147785,-41.69722911477318,-41.69722911470829,-41.69722911477271
249000.0,20.1746262406695,-41.0937044628752,-41.093704462868615,-41.093704462875486,-41.093704462868075
250000.0,20.2556488360135,-40.6521070063527,-40.65210700635398,-40.652107006362215,-40.65210700635351
251000.0,20.3366714313576,-40.3211779265264,-40.321177926527454,-40.32117792653765,-40.32117792652726
252000.0,20.4176940267016,-40.0754384249051,-40.07543842490608,-40.0754384249185,-40.07543842490608
253000.0,20.4987166220457,-39.8995310014694,-39.899531001470585,-39.89953100148526,-39.89953100147059
254000.0,20.5797392173897,-39.7811995843179,-39.78119958431936,-39.78119958433651,-39.781199584319324
255000.0,20.6607618127338,-39.7080423083714,-39.70804230837271,-39.70804230839215,-39.70804230837286
256000.0,20.7417844080778,-39.6662198547178,-39.66621985471927,-39.66621985474064,-39.66621985471946
257000.0,20.8228070034219,-39.6404443149545,-39.64044431495601,-39.640444314978346,-39.64044431495634
258000.0,20.903829598766,-39.6150003923863,-39.61500039238757,-39.61500039240893,-39.615000392387984
259000.0,20.98485219411,-39.5755909165097,-39.57559091651059,-39.57559091652789,-39.575590916510926
260000.0,21.0658747894541,-39.5116001808867,-39.51160018088587,-39.51160018088497,-39.51160018088616
261000.0,21.1468973847981,-39.4181518717713,-39.418151871770874,-39.41815187177129,-39.41815187177098
262000.0,21.2279199801422,-39.2974545181892,-39.29745451818884,-39.297454518191174,-39.29745451818905
263000.0,21.3089425754862,-39.1598769422512,-39.15987694225071,-39.15987694225591,-39.159876942251216
264000.0,21.3899651708303,-39.0290158416899,-39.029015841689855,-39.02901584169908,-39.02901584169034
265000.0,21.4709877661743,-38.9866354277981,-38.98663542779893,-38.98663542781375,-38.986635427799115
266000.0,21.5520103615184,-38.7279570566578,-38.72795705665863,-38.72795705668438,-38.727957056659235
